owner_id,full_name,address_line,city
1,Ekavir Sehgal,"H.No. 310, Doctor Path",Raurkela Industrial Township
2,Lopa Guha,"70/935
Kant Chowk",Bathinda
3,Lucky Lata,"H.No. 94, Chokshi Circle",Nashik
4,Yashvi Brahmbhatt,"375, Oza Chowk",Bardhaman
5,Ishita Wagle,"50
Puri Ganj",Latur
6,Yasti Raval,"49
Dara Ganj",Pallavaram
7,Finn Singh,"53/177, Pillay Road",Munger
8,Raghav Ahuja,"53
Behl Street",Kharagpur
9,Anvi Bhandari,"67/350, Dixit Path",Bidhannagar
10,Nimrat Tak,"039, Zachariah Nagar",Burhanpur
11,Kashvi Saxena,"05/21, Mohanty Nagar",Delhi
12,Benjamin Borde,"27
Aggarwal Road",Chandigarh
13,Kamala Cherian,"84, Hegde Street",Jodhpur
14,Frado Dhar,"H.No. 29, Sha Path",Sambhal
15,Nihal Jhaveri,"H.No. 73
Sarkar Road",Dibrugarh
16,Nandini Saran,"45
Bera Road",Tezpur
17,Umang Sangha,"61/21
Koshy Street",Solapur
18,Ekavir Sachdev,"16/31
Mander Path",Serampore
19,Advik Mahajan,"397
Prabhu Road",Bhagalpur
20,Kavya Rana,"356, Aurora Chowk",Mango
21,Azad Chaudhuri,"62/95, Raju Zila",Bihar Sharif
22,Saumya Dara,"63, Wadhwa Marg",North Dumdum
23,Frado Tara,"37/39, Parmer Road",Kadapa
24,Ayush Padmanabhan,"032, Chand",Raurkela Industrial Township
25,Shaurya Bhattacharyya,"34, Sura",Chapra
26,Vasatika Seth,"58/98
Dalal Path",Howrah
27,Yamini Hans,"96/05, Choudhary Nagar",Mira-Bhayandar
28,Mitesh Raju,"H.No. 011
Kakar Path",Tiruvottiyur
29,Aditya Chad,"91/651
Vasa Chowk",Jaipur
30,Xavier Balan,"174
Prabhakar Road",Ludhiana
31,Vanya Roy,"40/366
Narain",Kolhapur
32,Vyanjana Sahni,"35
Reddy Street",Lucknow
33,Geetika Issac,"09, Das Circle",Guwahati
34,Robert Kaul,"12/517
Pandey Zila",Hospet
35,Karan Dubey,"89/943
Brar Marg",Jamnagar
36,Chatresh Buch,"052
Sridhar Path",Purnia
37,Oliver Khalsa,"45/07, Prabhu Chowk",Allahabad
38,Anay Sarin,"47/232, Bhatnagar Street",Madurai
39,Kalpit Bajwa,"H.No. 207
Munshi Street",Nizamabad
40,Waida Jaggi,"371, Kakar",Jamshedpur
41,Dakshesh Venkatesh,"H.No. 978
Madan Zila",Kollam
42,Xalak Pandya,"63/06, Iyer Path",Bidhannagar
43,Zayyan Kala,"320, Nath",Rampur
44,Gopal Vig,"836, Khanna Zila",Naihati
45,Onveer Patil,"H.No. 36, Guha Path",Kulti
46,Keya Sarna,"04, Grover Circle",Bettiah
47,Banjeet Sengupta,"82/97
Balan Marg",Malda
48,Eiravati Ramachandran,"75, Bhatia Circle",Pondicherry
49,Advika Sem,"H.No. 67
Biswas Circle",Vellore
50,Teerth Bir,"150
Patla Ganj",Warangal
51,Eta Dhingra,"67/721, Dhillon Path",Orai
52,Chandani Raj,"42
Pathak Nagar",Kochi
53,Champak Natarajan,"655
Anne Zila",Gandhidham
54,Bina Arora,"20/404, Ramaswamy Path",Bahraich
55,Brijesh Chaudhary,"22
Bakshi",Allahabad
56,Nathaniel Sharma,"853
Madan Chowk",Chennai
57,Ranveer Buch,"H.No. 891
Sachar",Bidhannagar
58,Nihal Sheth,"81
Baral Circle",Panipat
59,Yashoda Parsa,"34, Mohanty Chowk",Silchar
60,Jason Iyer,"17/87, Puri Nagar",Motihari
61,Nidra Manda,"32/025, Edwin Street",Hazaribagh
62,Ethan Oommen,"H.No. 127, Ramakrishnan Zila",Chinsurah
63,Gaurav Bir,"598
Sarkar Zila",Nadiad
64,Samarth Tandon,"61/291, Hayre Chowk",Jodhpur
65,Hemani Purohit,"28/201
Kata Nagar",Kolhapur
66,Ethan Sarin,"H.No. 070
Zachariah Chowk",Uluberia
67,Watika Gade,"H.No. 864, Saxena Circle",Jaunpur
68,Owen Jaggi,"H.No. 36, Keer Marg",Bhavnagar
69,Jasmit Nigam,"H.No. 054, Raghavan Nagar",Ulhasnagar
70,Jagat Nagar,"54
Raja Zila",Panchkula
71,Nachiket Manda,"H.No. 01, Vala Ganj",Chittoor
72,Mohammed Krishna,"48, Sandal Nagar",South Dumdum
73,Neha Dayal,"H.No. 84
Choudhary Chowk",Erode
74,Gagan Sen,"H.No. 10, Narayan Chowk",Nadiad
75,Champak Mutti,"574, Goswami",Deoghar
76,Mugdha Doshi,"83/61, Ravel Ganj",Gorakhpur
77,Robert Bir,"96/30, Barman Street",Jamshedpur
78,Avni Ben,"H.No. 37, Subramanian Circle",Haridwar
79,Abeer Raval,"08/12, Khosla Marg",Bijapur
80,Harrison Sanghvi,"H.No. 161, Srinivasan Circle",Gopalpur
81,Christopher Nagi,"19/39, Kota Chowk",Raiganj
82,Manan Morar,"H.No. 956
Buch Ganj",Nizamabad
83,Pranit Palan,"45/39
Dasgupta Road",Faridabad
84,Tanmayi Koshy,"28/701, Sane Street",Raichur
85,Unni Gupta,"H.No. 06
Bhandari Street",Chandigarh
86,Harita Goyal,"146
Zachariah Circle",Bikaner
87,Siya Natarajan,"56/723
Tak",Raiganj
88,Yamini Manne,"138, Mand Chowk",Allahabad
89,Saanvi Saran,"764
Nagy Path",Bulandshahr
90,Yasti Patil,"82/17, Bhardwaj Circle",Korba
91,Dev Prakash,"40
Din Zila",Ulhasnagar
92,Prisha Shenoy,"H.No. 25, Gour Chowk",Kochi
93,Yashawini Chhabra,"13/830, Prasad Street",Thanjavur
94,Aryan Prabhu,"H.No. 485
Taneja Circle",Mau
95,Abdul Pal,"25, Behl Road",Karnal
96,Anay Yadav,"77/917
Rege Zila",Agra
97,Kamya Sehgal,"H.No. 18, Contractor Zila",Nizamabad
98,Liam Nagarajan,"08/090, Wali Ganj",Amaravati
99,Wahab Dass,"16/60, Natt Chowk",Pudukkottai
100,Anirudh Agate,"H.No. 20, Karpe Road",Unnao
101,Urmi Amble,"H.No. 347, Kibe Street",Dharmavaram
102,Krishna Khalsa,"05/947, Kumar Path",Rewa
103,Bhavani Narain,"473, Acharya Nagar",Munger
104,Chatura Dhar,"76
Edwin Ganj",Ulhasnagar
105,Owen Keer,"27/075, Agarwal Circle",Tirupati
106,Radhika Parsa,"H.No. 012, Oak Chowk",Tezpur
107,Libni Mann,"246
Mane Zila",Siliguri
108,Wakeeta Mahajan,"846, Ratti Circle",Thanjavur
109,Ranveer Sodhi,"56
Barman Marg",Imphal
110,Warhi Pal,"H.No. 99
Jain Zila",Tadipatri
111,Kritika Khatri,"H.No. 925
Iyengar Road",Bareilly
112,Yashodhara Rajan,"725
Dhar Nagar",Mira-Bhayandar
113,Charles Rajagopalan,"271
Varty Road",Bhusawal
